"name","post_modified","post_date","byline","alt_text","description","place_name",
"8421902SUB135.jpg","10/08/2018","10/08/2018","Courtesy of Katie Driscoll","Fort Smith, AR","Local beer options can be found in Western Arkansas.","Fort Smith",
"8421902SUB170.jpg","10/08/2018","10/08/2018","Courtesy of Van Buren Fine Arts Center","Fort Smith, AR","A drama production at the Van Buren Fine Arts Center in Western Arkansas.","Fort Smith",
"AnnArborMI-StateTheatreCrowdDaytime.jpg","10/09/2018","10/09/2018","iStockPhoto/Davel5957","Ann Arbor MI",,"Ann Arbor",
"BozemanMT-SunsetOnMainStreet.jpg","10/09/2018","10/09/2018","iStockPhoto/DianeBentleyRaymond","Bozeman MT",,"Bozeman",
"FayettevilleAR-RowHouses.jpg","10/09/2018","10/09/2018","iStockPhoto/BlazenImages","Fayetteville AR",,"Fayetteville",
"ID-RaftsAtSalmonRiver.jpg","10/09/2018","10/09/2018","iStockPhoto/alacatr","Idaho",,"Idaho",
"Stock-WomanBikingNearWater.jpg","10/09/2018","10/09/2018","iStockPhoto/AscentXmedia","Stock",,,
"ID-RaftingPack.jpg","10/10/2018","10/10/2018","Photo Courtesy of Annette Benedetti","Idaho",,"Idaho",
"ID-WomanRowing.jpg","10/10/2018","10/10/2018","Photo Courtesy of Annette Benedetti","Idaho",,"Idaho",
"StateCollegePA-HudsonHouseHotAirBalloon.jpg","10/10/2018","10/10/2018","Photo Courtesy of Visit Penn State","State College PA",,"State College",
"BloomingtonIN-ChocolateMooseIceCream.jpg","10/10/2018","10/10/2018","Photo Courtesy of Visit Bloomington","Bloomington IN",,"Bloomington",
"BloomingtonIN-FarmersMarket1.jpg","10/10/2018","10/10/2018","Photo Courtesy of Visit Bloomington","Bloomington IN",,"Bloomington",
"BloomingtonIN-FarmersMarket3.jpg","10/10/2018","10/10/2018","Photo Courtesy of Visit Bloomington","Bloomington IN",,"Bloomington",
"BloomingtonIN-FatherSonHiking.jpg","10/10/2018","10/10/2018","Photo Courtesy of Visit Bloomington","Bloomington IN",,"Bloomington",
"61815SUB038.jpg","10/10/2018","10/10/2018","Courtesy of UTRGV/Paul Chouy","McAllen, TX","UTRGV School of Medicine students in group discussions during their first day of class at the Medical Education Building in Edinburg, TX.&nbsp;
&nbsp;","McAllen",
