"name","post_modified","post_date","byline","alt_text","description","place_name"
"151OGD0708kmy0259_0_1.jpg","08/20/2014","08/20/2014","Kevin Young","Peery's Egyptian Theater","Peery's Egyptian Theater draws big-name performers and serves as a venue for the Sundance Film Festival.",
"151LIN0708kmy6793_0_0.jpg","08/20/2014","08/20/2014","Kevin Young","Empyrean Brewing Co. in Lincoln, NE","Lazlo's Brewery & Grill is the city's flagship brewpub, stocked with local microbrews from Empyrean Brewing Co.","Lincoln"
"151LIN0708kmy6738_0_1.jpg","08/20/2014","08/20/2014","Kevin Young","""Old Glory"" by Mark di Suvero in Lincoln, NE","""Old Glory"" by Mark di Suvero can be spotted in the southeastern section of the UNL campus.","Lincoln"
"62007ARCHED24_2.jpg","08/02/2017","08/20/2014","Courtesy of Nussbaum Center of Entrepeneurship","Greensboro, NC",,"Greensboro"
"PRCHSTK00016224_0_0.jpg","08/20/2014","08/20/2014",,"Dinner in Knoxville","Whether it is a steak dinner or glass of wine, it is certainly true that Knoxville has great taste.","Knoxville"
"151LYN0608kmy2584_0_0.jpg","08/20/2014","08/20/2014","Kevin Young","The Lynchburg Community Market in Lynchburg, VA","Lynchburg Community Market, located in the heart of downtown at 12th and Main streets. The market’s been around since 1783 and, as it did then, still remains one of the most vital parts of the community.","Lynchburg"
"7680309BM5091_1.jpg","08/20/2014","08/20/2014","Brian McCord","Sunset at Watts Bar Lake","Sunset at Watts Bar Lake in Kingston, Tennessee.",
"7680309BM4381_2.jpg","07/30/2017","08/20/2014","Brian McCord","Whitestone Country Inn in Kingston, TN","Whitestone Country Inn in Kingston hosts wedding parties and other special events, and its dining room offers spectacular views of Watts Bar Lake.",
"7680309BM6175_1.jpg","08/20/2014","08/20/2014","Brian McCord","Oak Ridge National Laboratory",,
"151JEF0708kmy7564_0_0.jpg","08/20/2014","08/20/2014","Kevin Young","Yanis Coffee Zone in Jefferson City, MO","Yanis Coffee Zone, located on High Street, perks up Missourians with its caffeinated beverages. The coffee shop's owner was recently featured on the cover of Vogue (in Bulgaria).","Jefferson City"
"151FLA0708KMY8809_0_1.jpg","08/20/2014","08/20/2014","Kevin Young",,,"Flagstaff"
"20203ARCHE13BR_7.jpg","08/20/2014","08/20/2014","Staff",,,"Thomasville"
"0208STK8797_2.jpg","08/01/2017","08/20/2014","Brian McCord","Angie's Restaurant in Logan, UT","Angie's Restaurant in Logan, UT, is a family favorite. Angie's is known for its breakfast menu and famous banana split, also known as the Kitchen Sink.","Logan"
"151ATH0808IC_0002_0_1.jpg","08/20/2014","08/20/2014","Ian Curcio","Terrapin Brewery in Athens, GA","The beers of Terrapin Brewery, which opened in 2002, have won national and international top honors for their pale and golden ales, which are also sold throughout the region.",
"151ATH0808IC_0031_0_0.jpg","08/20/2014","08/20/2014","Ian Curcio","Classic Center Theatre in Athens, GA","Classic Center Theatre hosts Broadway productions and headlining tours.",
"151ATH0808IC_0047_0_0.jpg","08/20/2014","08/20/2014","Ian Curcio","Five and Ten","Five and Ten is known for “merging soul food with Old World Cuisine,” and the result is creative cuisine along the lines of pecan truffles and Frogmore Stew.",
"151ATH0808IC_0044_0_3.jpg","07/07/2017","08/20/2014","Ian Curcio","Stegeman Coliseum","The Georgia Bulldogs basketball teams play at Stegeman Coliseum.","Athens"
