"name","post_modified","post_date","byline","alt_text","description","place_name"
"7780515JWA2891.jpg","08/14/2017","08/14/2017","Jeff Adkins","Charlotte, NC","A Lynx Blue Line Light Rail makes a stop at the Bland Street station in Uptown Charlotte, North Carolina.","Charlotte"
"7780513JWA4238.jpg","08/14/2017","08/14/2017","Jeff Adkins","Charlotte, NC","Senior design students finish building a Formula/Indy-style small lightweight high-performance race car to enter into the Formula SAE competition in Michigan while working in the Alan D. Kulwicki Motorsports Laboratory at University of North Carolina Charlotte campus in Charlotte, North Carolina.","Charlotte"
"7841013SUB005.jpg","08/14/2017","08/14/2017","Courtesy of Boeing","Charlotte, NC","Boeing unveils 787 Dreamliner Flight Deck.","Charlotte"
"7780512THB0205.jpg","08/14/2017","08/14/2017","Todd Bennett","Charlotte, NC","Students listen to an instructor at the NASCAR Technical Institute. The NASCAR Technical Institute in Moorseville, NC, provides course work in engine construction, electrical, fuel and lubrication systems, drive trains, body and chassis fabrication and racing theory principles.&nbsp;","Charlotte"
"1250512BM5258.jpg","08/14/2017","08/14/2017","Brian McCord","Charlotte, NC","Henry River Mill Village in Hildebran, NC is an abandoned village that was used in the filming of the movie The Hunger Games.","Charlotte"
"7780513JWA6277.jpg","08/14/2017","08/14/2017","Jeff Adkins","Charlotte, NC","Meeting rooms display a large purple company logo at the new Ally Financial building in Uptown Charlotte, North Carolina. Ally employs nearly 750 people in Charlotte and occupies approximately 200,000 square feet at three sites throughout the city.","Charlotte"
"7780416JWA3237.jpg","08/14/2017","08/14/2017","Jeff Adkins","Charlotte, NC","A giant lathe is used to manufacture steam turbines at Siemens Energy in Charlotte, North Carolina.","Charlotte"
"7780513JWA3754.jpg","08/14/2017","08/14/2017","Jeff Adkins","Charlotte, NC","Joe Henz, Training Manager at the Polymers Center of Excellence, programs a plastic injection molding machine in Charlotte, North Carolina.","Charlotte"
"7780513JWA4662.jpg","08/14/2017","08/14/2017","Jeff Adkins","Charlotte, NC","A Medcenter Air helicopter is stationed and staffed 24-hours a day at the Concord Regional Airport in Concord, North Carolina. Concord Regional Airport houses several private aircraft used by NASCAR race teams, including jets owned by top racing teams such as Gibbs, Hendricks, Penske, Roush and Stewart-Haas.","Charlotte"
"77807SUB082.jpg","08/14/2017","08/14/2017","Courtesy of Red Ventures","Charlotte, NC","The company employs analytics and proprietary technology&nbsp;to develop strategic marketing and sales programs for companies such as DirecTV and ADT that optimize customer life cycles.","Charlotte"
"WilliamsonCo2017_18v32W.jpg","08/29/2017","08/14/2017",,"Williamson County Digital Magazine",,
"Woodbury Green 2.jpg","08/14/2017","08/14/2017",,,,
"PackardPlace_CharlotteNC.jpg","08/15/2017","08/15/2017","Courtesy of James Willamor under a  CC 2.0  license.","Charlotte, NC","Packard Place in Charlotte, NC.","Charlotte"
"3064SUB052.jpg","08/15/2017","08/15/2017","Courtesy of Jan Oelker","Charlotte, NC","Both big-name companies, such as Duke Energy, Piedmont Natural Gas and Areva, and smaller ones combine with leading-edge startups to make the region an innovation generator.","Charlotte"
"7780513JWA4027.jpg","08/15/2017","08/15/2017","Jeff Adkins","Charlotte, NC","Senior design students finish building a Formula/Indy-style small lightweight high-performance race car to enter into the Formula SAE competition in Michigan while working in the Alan D. Kulwicki Motorsports Laboratory at University of North Carolina Charlotte campus in Charlotte, North Carolina.","Charlotte"
"3501111THB0500.jpg","08/15/2017","08/15/2017","Todd Bennett","Charlotte, NC","A Tyson Processing plant in North Wilkesboro, NC, with almost 2,700 employees and a payroll of $76.9 million.","Charlotte"
"7780515JWA3710.jpg","08/15/2017","08/15/2017","Jeff Adkins","Charlotte, NC","Yamilka Baez-Rivera, Manager of the Duke Energy Smart Grid Laboratory in the UNC Energy Production and Infrastructure Center, right, works with her students to program Real Time Digital Sensors while doing research on power grids on the campus of UNC Charlotte in Charlotte, North Carolina.","Charlotte"
"7841013SUB003.jpg","08/15/2017","08/15/2017","Courtesy of Boeing","Charlotte, NC","Boeing's Dreamliner 787.","Charlotte"
"7780513JWA6412.jpg","08/15/2017","08/15/2017","Jeff Adkins","Charlotte, NC","Employees work with financial data at the new Ally Financial building in Uptown Charlotte, North Carolina. Ally employs nearly 750 people in Charlotte and occupies approximately 200,000 square feet at three sites throughout the city.","Charlotte"
"7780512THB0083.jpg","08/15/2017","08/15/2017","Todd Bennett","Charlotte, NC","A couple of the race cars at the NC Motorsports and Automotive Research Center on the campus of UNC Charlotte.","Charlotte"
"JacksonWY2.jpg","08/15/2017","08/15/2017","Courtesy of Mr. Jason Hayes under a  CC 2.0  license.","Jackson, WY","Fireworks over downtown Jackson, WY.","Jackson"
"7940912THB0116.jpg","08/15/2017","08/15/2017","Todd Bennett","Charlotte, NC","Duke Energy’s newly established a new 37-acre solar farm near Murfreesboro, NC, is the largest in the state and capable of producing enough electricity to power 700 homes.&nbsp;","Charlotte"
"HomelandCharlotte.jpg","08/15/2017","08/15/2017","Courtesy of Global Panorama under a  CC 2.0  license.","Charlotte, NC",,"Charlotte"
"7780515JWA3951.jpg","08/15/2017","08/15/2017","Jeff Adkins","Charlotte, NC","Power lines and accessories are tested to determine their breaking point in the High Bay Structures Laboratory in the UNC Energy Production and Infrastructure Center on the campus of UNC Charlotte in Charlotte, North Carolina.","Charlotte"
"7780513JWA6271.jpg","08/15/2017","08/15/2017","Jeff Adkins","Charlotte, NC","Bank of America Stadium in downtown Charlotte, North Carolina.","Charlotte"
