"name","post_modified","post_date","byline","alt_text","description","place_name"
"IRMC06-ED29_1.jpg","08/20/2014","08/20/2014",,,,"Ridgeland"
"7040607MWB320-2_1.jpg","08/20/2014","08/20/2014",,"Good Samaritan Community Healthcare",,
"7040607MWB374_1.jpg","08/01/2017","08/20/2014","Michael W. Bunch","Scallops wrapped in bacon at Hungry Goose Bistro",,"Puyallup"
"6960908JWA1507_0_5.jpg","08/20/2014","08/20/2014","Jeff Adkins","Burger and Fries","Burger and Fries","Temple"
"7670609BM3923_2.jpg","08/20/2014","08/20/2014","Brian McCord","Scott and White Hospital in Temple, TX","Scott and White Healthcare is a Central Texas biomedical leader.","Temple"
"70608ARCH0086_2.jpg","08/20/2014","08/20/2014",,,,
"7060507WA3480.jpg","08/20/2014","08/20/2014",,,,
"7060507WA3280_1.jpg","08/20/2014","08/20/2014",,,,
"3890208IC0017_0.jpg","08/20/2014","08/20/2014",,,,"Jacksonville"
"38908SUB0586_2.jpg","08/20/2014","08/20/2014",,,,"Jacksonville"
"3890208IC0082_2.jpg","07/11/2017","08/20/2014","Ian Curcio","Jacksonville, NC",,"Jacksonville"
"3890208IC0010_1.jpg","08/02/2017","08/20/2014","Ian Curcio","Jacksonville, NC",,"Jacksonville"
"38904ARCHED8_0.jpg","08/20/2014","08/20/2014",,,,"Jacksonville"
"3890209THB0288_1.jpg","07/11/2017","08/20/2014","Todd Bennett","White Oak Bakery","Fresh-baked bread from the White Oak Bakery in Jacksonville, NC.","Jacksonville"
"6970907THB006_0.jpg","08/20/2014","08/20/2014","Todd Bennett","Recreation","Paul B. Johnson Park features a 300-acre lake with group facilities, nature trail, paddle boats, canoeing, fishing and an 18 hole disc golf course.
ORIGINAL CUTLINE:  Dr. John Crompton, recently elected to the College Station Council, poses for a picture in College Station, Texas, in Brazos County, September 17, 2007. College Station is working toward improving bike trails.",
"76208ARCH8987_1.jpg","08/20/2014","08/20/2014","Staff",,"Barbecue: A simple southern pleasure.",
"7581208BM7882_0.jpg","08/20/2014","08/20/2014","Brian McCord","Downtown Hattiesburg","Hattiesburg ranked in the top 10 among cities on National Geographic’s list of the Best Places to Live and Play, one of many accolades the city has earned.",
"74809ARCH4662_1.jpg","08/20/2014","08/20/2014",,,,
